CourseTitle ,Term ,Faculty ,CourseSection ,Phase ,Area ,Campus ,Meeting Pattern ,Bids ,Closing Cost ,Seats Available ,Total seats ,Enrolled ,Program ,WaitList ,OpenSeats
Financial Planning for Mergers & Acquisitions ,Fall 2015 ,"Lys, Thomas" ,ACCT-444-0 (61) ,Fall 2015 Bid to Waitlist ,ACCT ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,0 ,0 ,2 ,40 ,0 ,Full-Time ,0 ,2
Business Law ,Fall 2015 ,"McCareins, Mark" ,BLAW-435-0 (81) ,Fall 2015 Bid to Waitlist ,BLAW ,Evanston ,Mon 6:30PM - 9:30PM ,0 ,0 ,16 ,55 ,0 ,Full-Time ,0 ,16
Business Law for Entrepreneurs ,Fall 2015 ,"Bradley, Craig" ,BLAW-911-5 (31) ,Fall 2015 Bid to Waitlist ,BLAW ,Chicago ,Thu 6:00PM - 9:00PM ,1 ,0 ,0 ,10 ,0 ,Full-Time ,1 ,0
Business Law for Entrepreneurs ,Fall 2015 ,"Bradley, Craig" ,BLAW-911-5 (81) ,Fall 2015 Bid to Waitlist ,BLAW ,Evanston ,Thu 6:30PM - 9:30PM ,0 ,0 ,33 ,55 ,0 ,Full-Time ,0 ,33
Decision Making and Modeling ,Fall 2015 ,"Al-Najjar, Nabil" ,DECS-450-0 (61) ,Fall 2015 Bid to Waitlist ,DECS ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,2 ,0 ,1 ,50 ,0 ,Full-Time ,0 ,1
Decision Making and Modeling ,Fall 2015 ,"Al-Najjar, Nabil" ,DECS-450-0 (62) ,Fall 2015 Bid to Waitlist ,DECS ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,0 ,0 ,14 ,50 ,0 ,Full-Time ,0 ,14
Finance II ,Fall 2015 ,"Chopra, Navin" ,FINC-431-0 (62) ,Fall 2015 Bid to Waitlist ,FINC ,Evanston ,Tue/Fri 1:30PM - 3:00PM ,0 ,0 ,36 ,65 ,0 ,Full-Time ,0 ,36
Financial Decisions ,Fall 2015 ,"Raviv, Artur" ,FINC-442-0 (61) ,Fall 2015 Bid to Waitlist ,FINC ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,2 ,0 ,0 ,50 ,0 ,Full-Time ,2 ,0
Financial Decisions ,Fall 2015 ,"Raviv, Artur" ,FINC-442-0 (62) ,Fall 2015 Bid to Waitlist ,FINC ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,0 ,0 ,0 ,50 ,0 ,Full-Time ,0 ,0
Financial Decisions ,Fall 2015 ,"Thompson, Timothy" ,FINC-442-0 (63) ,Fall 2015 Bid to Waitlist ,FINC ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,0 ,0 ,26 ,50 ,0 ,Full-Time ,0 ,26
